id: 8e63d5492ea94b40a50b0033a74ee3d8 url: Qci5ka9r54A                         
PCO: 0.0000          AAE: 54.8820                             
                                                              
gt_time              time_dif             word                
72.41                -39.92               gonna               
72.72                -39.85               keep                
73.03                -39.95               me                  
73.21                -40.04               down                
75.63                -41.53               pissing             
76.25                -41.57               the                 
76.52                -41.56               night               
77.44                -41.35               away                
80.27                -43.75               pissing             
80.88                -44.02               the                 
81.15                -44.22               night               
82.08                -45.05               away                
83.40                -46.24               he                  
83.49                -46.21               drinks              
83.62                -46.15               a                   
83.75                -46.19               whisky              
84.06                -46.20               drink               
84.55                -46.34               he                  
84.63                -46.29               drinks              
84.77                -46.12               a                   
84.90                -46.20               vodka               
85.21                -46.19               drink               
85.69                -46.21               he                  
85.78                -46.20               drinks              
85.91                -46.13               a                   
86.05                -46.19               lager               
86.35                -46.22               drink               
86.84                -46.45               he                  
86.93                -46.21               drinks              
87.06                -46.11               a                   
87.19                -46.18               cider               
87.50                -46.16               drink               
87.99                -46.46               he                  
88.08                -46.48               sings               
88.25                -46.33               the                 
88.38                -46.21               songs               
88.65                -46.17               that                
88.83                -46.21               remind              
89.13                -46.14               him                 
89.22                -46.14               of                  
89.40                -46.15               the                 
89.53                -46.17               good                
89.80                -46.18               times               
90.24                -46.13               he                  
90.33                -46.11               sings               
90.55                -46.12               the                 
90.68                -46.16               songs               
90.99                -46.19               that                
91.16                -46.22               remind              
91.43                -46.16               him                 
91.56                -46.18               of                  
91.74                -46.19               the                 
91.83                -46.19               better              
92.13                -46.29               times               
92.97                -47.01               don't               
94.12                -47.72               cry                 
94.74                -48.15               for                 
95.09                -48.20               me                  
96.50                -49.54               next                
97.08                -49.86               door                
97.65                -50.34               neighbor            
101.35               -53.70               i                   
101.66               -53.75               get                 
101.97               -53.97               knocked             
102.28               -53.86               down                
102.99               -54.15               but                 
103.12               -54.12               i                   
103.34               -54.29               get                 
103.43               -54.29               up                  
103.60               -54.39               again               
104.27               -54.92               you're              
104.44               -54.93               never               
104.84               -55.16               gonna               
105.15               -55.26               keep                
105.46               -55.41               me                  
105.63               -55.36               down                
105.99               -55.43               i                   
106.30               -55.67               get                 
106.60               -55.84               knocked             
106.91               -56.03               down                
107.62               -56.46               but                 
107.75               -56.45               i                   
107.97               -56.63               get                 
108.06               -56.62               up                  
108.24               -56.73               again               
108.85               -57.23               you're              
109.03               -57.31               never               
109.43               -57.55               gonna               
109.74               -57.55               keep                
110.05               -57.61               me                  
110.22               -57.67               down                
110.62               -57.76               i                   
110.93               -57.91               get                 
111.24               -58.13               knocked             
111.55               -58.32               down                
112.21               -58.73               but                 
112.34               -58.70               i                   
112.56               -58.87               get                 
112.65               -58.87               up                  
112.83               -58.97               again               
113.49               -59.52               you're              
113.66               -59.60               never               
114.06               -59.84               gonna               
114.37               -60.03               keep                
114.68               -60.24               me                  
114.85               -60.26               down                
115.21               -60.50               i                   
115.52               -60.76               get                 
115.83               -60.97               knocked             
116.13               -61.14               down                
116.84               -61.71               but                 
116.97               -61.75               i                   
117.19               -61.92               get                 
117.28               -61.92               up                  
117.46               -62.03               again               
118.12               -62.57               you're              
118.30               -62.66               never               
118.69               -62.94               gonna               
119.00               -63.13               keep                
119.31               -63.34               me                  
119.49               -63.45               down                
138.37               -82.08               i                   
138.68               -82.23               get                 
138.99               -82.44               knocked             
139.30               -82.63               down                
140.00               -83.22               but                 
140.13               -83.26               i                   
140.35               -83.44               get                 
140.44               -83.43               up                  
140.62               -83.54               again               
141.28               -84.09               you're              
141.46               -84.08               never               
141.85               -84.36               gonna               
142.16               -84.50               keep                
142.47               -84.70               me                  
142.65               -84.80               down                
143.00               -85.04               i                   
143.31               -85.30               get                 
143.62               -85.52               knocked             
143.93               -85.71               down                
144.63               -86.32               but                 
144.77               -86.36               i                   
144.99               -86.54               get                 
145.08               -86.53               up                  
145.25               -86.64               again               
145.87               -87.14               you're              
146.05               -87.18               never               
146.44               -87.46               gonna               
146.75               -87.63               keep                
147.06               -87.85               me                  
147.24               -87.86               down                
147.63               -88.16               i                   
147.94               -88.43               get                 
148.25               -88.64               knocked             
148.56               -88.83               down                
149.22               -89.40               but                 
149.35               -89.44               i                   
149.58               -89.50               get                 
149.66               -89.47               up                  
149.84               -89.58               again               
150.50               -90.13               you're              
150.68               -90.21               never               
151.08               -90.40               gonna               
151.38               -90.36               keep                
151.69               -90.43               me                  
151.87               -90.38               down                
152.22               -90.64               i                   
152.53               -90.90               get                 
152.84               -91.12               knocked             
153.15               -91.31               down                
153.85               -91.88               but                 
153.99               -91.92               i                   
154.21               -92.09               get                 
154.30               -91.85               up                  
154.47               -91.89               again               
155.09               -92.39               you're              
155.27               -92.43               never               
155.66               -92.39               gonna               
155.97               -92.56               keep                
156.28               -92.77               me                  
156.46               -92.88               down                
156.90               -93.11               i                   
157.21               -93.37               get                 
157.52               -93.52               knocked             
157.83               -93.64               down                
158.53               -94.09               but                 
158.66               -94.13               i                   
158.88               -94.19               get                 
158.97               -94.19               up                  
159.15               -94.29               again               
159.81               -94.84               you're              
159.99               -94.81               never               
160.38               -95.09               gonna               
160.69               -94.84               keep                
161.00               -94.98               me                  
161.18               -95.09               down                
161.53               -95.35               i                   
161.84               -95.54               get                 
162.15               -95.76               knocked             
162.46               -95.95               down                
163.16               -96.57               but                 
163.30               -96.61               i                   
163.52               -96.78               get                 
163.60               -96.52               up                  
163.78               -96.53               again               
164.40               -96.92               you're              
164.58               -96.96               never               
164.97               -97.08               gonna               
165.28               -97.08               keep                
165.59               -97.16               me                  
165.77               -97.27               down                
166.16               -97.57               i                   
166.47               -97.83               get                 
166.78               -98.05               knocked             
167.09               -98.24               down                
167.75               -98.74               but                 
167.88               -98.78               i                   
168.10               -98.95               get                 
168.19               -98.95               up                  
168.37               -99.06               again               
169.03               -99.60               you're              
169.21               -99.69               never               
169.60               -99.97               gonna               
169.91               -100.16              keep                
170.22               -100.38              me                  
170.40               -100.48              down                
170.75               -100.74              i                   
171.06               -100.94              get                 
171.37               -101.03              knocked             
171.68               -101.23              down                
172.38               -101.84              but                 
172.52               -101.88              i                   
172.74               -102.05              get                 
172.83               -102.05              up                  
173.00               -102.16              again               
173.62               -102.66              you're              
173.80               -102.74              never               
174.19               -102.86              gonna               
174.50               -102.96              keep                
174.81               -103.18              me                  
174.99               -103.28              down                
175.38               -103.59              i                   
175.69               -103.80              get                 
176.00               -103.90              knocked             
176.31               -104.10              down                
177.02               -104.50              but                 
177.15               -104.42              i                   
177.37               -104.55              get                 
177.46               -104.52              up                  
177.63               -104.56              again               
178.30               -105.11              you're              
178.47               -105.19              never               
178.87               -105.35              gonna               
179.18               -105.45              keep                
179.49               -105.44              me                  
179.66               -105.48              down                

                    
                    
                   
id: 7b61fa464da54a48bc956a533ba94613 url: J3UjJ4wKLkg                         
PCO: 0.0223          AAE: 0.5857                              
                                                              
gt_time              time_dif             word                
3.98                 -2.77                ooh                 
5.63                 -2.26                how                 
5.81                 -0.61                bout                
5.99                 -0.58                a                   
6.18                 -0.56                round               
6.91                 -0.34                applause            
10.20                -0.61                yeah                
12.03                -0.63                standin             
12.76                -0.62                ovation             
16.05                -0.59                oh                  
16.97                -0.39                ah                  
17.51                -0.59                oh                  
18.61                -0.62                yeah                
20.07                -2.01                yeah                
20.81                -0.56                yeah                
21.17                -0.55                yeah                
21.90                -0.61                yeah                
25.93                -0.59                you                 
26.29                -0.59                look                
26.66                -0.58                so                  
27.02                -0.58                dumb                
27.39                -0.59                right               
27.75                -0.57                now                 
31.78                -0.64                standin             
32.51                -0.58                outside             
33.24                -0.60                my                  
33.61                -0.52                house               
36.90                -0.63                tryin               
37.63                -0.62                to                  
37.99                -0.31                apologize           
39.82                -0.56                you're              
40.23                -0.58                so                  
40.55                -0.34                ugly                
41.29                -0.58                when                
41.65                -0.58                you                 
42.02                -0.60                cry                 
42.84                -0.61                please              
43.89                -0.59                just                
44.30                -0.56                cut                 
44.99                -0.48                it                  
45.31                -0.57                out                 
48.60                -0.61                don't               
48.97                -0.58                tell                
49.33                -0.60                me                  
49.70                -0.59                you're              
50.06                -0.63                sorry               
50.79                -0.60                cause               
51.16                -0.55                you're              
51.53                -0.59                not                 
53.72                -0.60                baby                
54.09                -0.64                when                
54.27                -0.61                i                   
54.45                -0.61                know                
54.82                -0.60                you're              
55.18                -0.57                only                
55.91                -0.63                sorry               
56.65                -0.58                you                 
57.01                -0.59                got                 
57.38                -0.59                caught              
59.57                -0.62                but                 
59.94                -0.57                you                 
60.30                -0.61                put                 
60.67                -0.56                on                  
61.03                -0.60                quite               
61.40                -0.55                a                   
61.77                -0.61                show                
63.23                -0.59                really              
63.96                -0.60                had                 
64.33                -0.59                me                  
64.69                -0.56                goin                
65.97                -0.61                but                 
66.15                -0.59                now                 
66.52                -0.56                it's                
66.89                -0.62                time                
67.43                -0.57                to                  
67.62                -0.56                go                  
69.08                -0.59                curtains            
69.81                -0.60                finally             
70.54                -0.61                closin              
72.01                -0.61                that                
72.37                -0.56                was                 
72.74                -0.62                quite               
73.10                -0.55                a                   
73.47                -0.61                show                
74.93                -0.59                very                
75.66                -0.41                entertainin         
78.59                -0.60                but                 
78.95                -0.55                it's                
80.42                -0.57                now                 
83.71                -0.57                go                  
84.07                -0.56                on                  
84.44                -0.42                and                 
84.81                -0.60                take                
85.90                -0.56                a                   
86.27                -0.55                bow                 
90.29                -0.60                grap                
90.66                -0.53                your                
91.02                -0.59                clothes             
91.39                -0.38                and                 
91.75                -0.56                get                 
92.12                -0.55                gone                
94.13                -0.54                you                 
94.31                -0.59                better              
94.68                -0.58                hurry               
95.96                -0.61                before              
96.51                -0.57                the                 
96.87                -0.61                sprinklers          
97.61                -0.60                come                
97.97                -0.57                on                  
100.53               -0.77                talkin              
100.90               -0.57                bout                
101.26               -0.57                girl                
101.63               -0.54                i                   
101.99               -0.60                love                
102.36               -0.53                you                 
102.73               -0.59                you're              
103.09               -0.54                the                 
103.46               -0.56                one                 
104.19               -0.57                this                
104.55               -0.54                just                
104.92               -0.58                looks               
105.29               -0.60                like                
105.65               -0.55                a                   
106.02               -0.56                refund              
107.25               -0.61                please              
108.21               -0.58                what                
108.58               -0.55                else                
109.72               -0.55                on                  
112.60               -0.44                and                 
112.97               -0.59                don't               
113.33               -0.54                tell                
113.70               -0.56                me                  
114.06               -0.58                you're              
114.43               -0.59                sorry               
115.16               -0.58                cause               
115.53               -0.53                you're              
115.89               -0.59                not                 
118.09               -0.77                baby                
118.45               -0.58                when                
118.64               -0.60                i                   
118.82               -0.59                know                
119.18               -0.57                you're              
119.55               -0.84                only                
120.28               -0.59                sorry               
121.01               -0.58                you                 
121.38               -0.60                got                 
121.74               -0.59                caught              
123.94               -0.58                but                 
124.30               -0.53                you                 
124.67               -0.59                put                 
125.04               -0.54                on                  
125.40               -0.61                quite               
125.77               -0.53                a                   
126.13               -0.57                show                
127.41               -0.95                you                 
127.60               -0.57                really              
128.33               -0.58                had                 
128.69               -0.58                me                  
129.06               -0.57                goin                
130.34               -0.58                but                 
130.52               -0.55                now                 
130.89               -0.54                it's                
131.25               -0.61                time                
131.80               -0.58                to                  
132.03               -0.57                go                  
133.45               -0.57                curtains            
134.18               -0.58                finally             
134.91               -0.57                closin              
136.37               -0.62                that                
136.74               -0.54                was                 
137.10               -0.58                quite               
137.47               -0.58                a                   
137.65               -0.58                show                
139.30               -0.57                very                
140.03               -0.40                entertainin         
142.96               -0.56                but                 
143.32               -0.56                it's                
143.73               -0.48                over                
144.83               -0.56                now                 
148.08               -0.53                go                  
148.44               -0.55                on                  
148.81               -0.40                and                 
149.17               -0.56                take                
150.27               -0.54                a                   
150.68               -0.53                bow                 
152.83               -2.36                oh                  
153.93               0.45                 and                 
155.07               -0.53                the                 
157.95               -0.58                for                 
159.05               -0.56                the                 
159.78               -0.58                best                
160.88               -0.58                liar                
161.61               -0.55                goes                
162.16               -0.54                to                  
162.38               -0.56                you                 
164.17               -0.60                for                 
164.53               -0.55                makin               
165.26               -0.54                me                  
166.36               -0.56                believe             
167.82               -0.68                that                
168.19               -0.58                you                 
169.29               -0.57                could               
169.65               -0.54                be                  
170.75               -0.59                faithful            
172.21               -0.52                to                  
172.58               -0.51                me                  
173.31               -0.59                let's               
174.04               -0.54                hear                
174.77               -0.53                your                
175.50               -0.58                speech              
176.24               0.54                 oh                  
178.25               -0.56                how                 
178.43               -0.56                bout                
178.61               -0.53                a                   
178.80               -0.53                round               
179.16               -0.55                of                  
179.53               -0.54                applause            
184.46               -0.58                a                   
184.69               -0.62                standin             
185.42               -0.57                ovation             
188.30               -0.57                but                 
188.67               -0.52                you                 
189.04               -0.58                put                 
189.40               -0.53                on                  
189.77               -0.57                quite               
190.13               -0.52                a                   
190.50               -0.56                show                
191.78               -0.93                you                 
191.96               -0.56                really              
192.69               -0.57                had                 
193.06               -0.54                me                  
193.42               -0.56                goin                
195.07               -0.55                now                 
195.44               -0.57                it's                
195.62               -0.57                time                
195.98               -0.54                to                  
196.17               -0.56                go                  
197.81               -0.56                curtains            
198.54               -0.57                finally             
199.28               -0.56                clo                 
200.01               -0.55                sin                 
200.74               -0.58                that                
201.11               -0.55                was                 
201.47               -0.59                quite               
201.84               -0.49                a                   
202.25               -0.60                show                
203.67               -0.60                very                
204.40               -0.52                entertainin         
206.41               -0.40                hey                 
206.96               -0.55                yeah                
207.32               -0.55                but                 
207.69               -0.52                it's                
209.15               -0.54                now                 
212.44               -0.49                go                  
212.81               -0.48                on                  
213.17               -0.36                and                 
213.54               -0.54                take                
214.64               -0.52                a                   
215.00               -0.52                bow                 
219.07               -0.57                but                 
219.44               -0.52                it's                
219.85               -0.49                over                
221.31               -0.58                now                 

                    
                    
                   
id: 50008b177f3c4c788a2a0d49d54f97ca url: zPonioDYnoY                         
PCO: 0.0000          AAE: 25.5281                             
                                                              
gt_time              time_dif             word                
42.90                -24.53               toll                
43.14                -16.76               no                  
43.38                -3.44                bell                
43.86                -1.09                for                 
44.34                -0.64                me                  
45.05                -0.89                father              
45.95                1.25                 but                 
46.25                3.27                 let                 
46.73                3.28                 this                
47.21                4.43                 cup                 
47.69                4.18                 of                  
