id: 1554beb0375b48a98ee87208e0be5103 url: bIGv23PvfMo                         
PCO: 0.9640          AAE: 0.1808                              
                                                              
gt_time              time_dif             word                
68.47                -0.05                cause               
68.53                0.17                 give                
68.79                0.17                 your                
69.04                0.00                 up                  
69.23                -0.07                best                
69.74                -0.05                just                
70.25                -0.11                ain't               
70.51                -0.09                good                
70.76                0.07                 enough              
71.21                -0.00                just                
71.72                -0.02                ain't               
72.23                -0.30                good                
72.48                -0.46                and                 
72.48                -0.35                enough              
72.74                -0.09                you                 
72.93                -0.05                feel                
73.25                -0.07                the                 
73.37                -0.03                world               
73.95                -0.02                has                 
74.39                -0.03                grown               
74.97                -0.07                cold                
76.18                -0.00                has                 
76.43                -0.00                grown               
76.69                0.07                 and                 
76.94                -0.09                you're              
76.94                0.00                 cold                
77.13                0.04                 drifting            
77.51                -0.02                out                 
78.15                0.02                 all                 
78.41                0.04                 on                  
78.66                0.02                 your                
78.92                -0.02                own                 
79.17                0.05                 drifting            
79.68                0.00                 out                 
80.19                0.00                 on                  
80.44                0.10                 and                 
80.44                0.21                 your                
80.63                0.11                 you                 
80.89                -0.00                need                
80.95                0.45                 own                 
81.34                0.55                 a                   
82.16                0.00                 hand                
82.67                0.00                 to                  
82.93                -0.04                hold                
84.14                0.05                 darling             
85.16                0.12                 reach               
85.41                0.10                 out                 
86.56                0.06                 come                
86.75                -0.03                on                  
87.00                -0.01                girl                
87.90                0.12                 reach               
88.09                0.11                 out                 
88.34                0.11                 for                 
88.53                0.04                 me                  
89.11                0.07                 reach               
89.42                0.08                 out                 
90.32                0.07                 reach               
